symbol,total_return,sharpe_ratio,max_drawdown,num_trades
AAPL,0.451143233,1.050893373,0.401411788,13
ABBV,-0.467113308,-1.027564151,1.090389395,7
ABT,0.273329646,0.496894247,0.476459533,15
ACN,-0.180474385,-0.593978002,0.515991531,5
ADBE,-0.97264981,-1.287398305,1.693630995,15
AIG,-0.158525771,-0.54297503,0.744749481,9
AMD,-0.848134818,-0.85015262,2.021377049,20
AMGN,-1.137664881,-4.163683933,1.215962689,9
AMT,-1.216661043,-4.105008557,1.321139405,7
AMZN,0.554760705,1.434388978,0.464037458,11
AVGO,2.466394379,1.290131373,1.667610708,33
AXP,0.887452775,1.068404672,0.590154044,19
BA,0.581749452,1.420033291,0.758229274,9
BAC,0.479807505,1.092458862,0.496158882,13
BK,0.771786162,1.859948262,0.456028974,13
BKNG,1.328168513,1.526124304,1.232968392,25
BLK,0.973983075,1.737922182,0.365930062,17
BMY,1.520813336,1.875083702,0.470237281,17
BRK.B,0.10437988,0.19893846,0.507635667,19
C,0.36581642,0.545787411,0.833790028,14
CAT,-0.117107325,-0.123833878,0.912891748,25
CHTR,0.788297057,0.731510369,1.114733173,19
CL,-0.484161829,-2.169537199,0.633809959,7
CMCSA,-0.485512261,-1.242926677,1.031034192,7
COF,0.735918854,0.926151999,0.770523373,15
COP,-1.03247397,-1.559759346,1.356453326,19
COST,0.057518531,0.255514233,0.347498658,7
CRM,0.668321882,1.753585765,0.507803291,7
CSCO,0.789674276,1.316125564,0.451225552,17
CVS,-2.154807732,-3.97607587,2.399802035,15
CVX,-0.243834027,-0.692706777,0.798154157,11
DE,0.201814861,0.540915056,0.492854216,11
DHR,-0.992187483,-2.685048348,1.201432011,11
DIS,1.110712673,2.752316296,0.317323396,11
DOW,-2.062010697,-3.102845415,2.207406657,21
DUK,0.06776588,0.148198973,0.797666919,14
EMR,0.781453941,1.589014936,0.557692844,11
F,-0.495862796,-1.09324983,0.911401365,9
FDX,0.20356255,0.910222114,0.647139273,5
GD,-0.781722836,-1.853159241,0.997475095,11
GE,-0.076160633,-0.148233293,1.122747867,10
GILD,1.495305958,1.818549824,0.637622411,20
GM,0.857942112,1.82567173,0.96574153,11
GOOG,0.160008495,0.19980197,1.412960857,19
GOOGL,0.632920991,1.174642093,0.620804844,11
GS,0.626439779,0.879455167,0.535542668,15
HD,0.423589063,1.111773718,0.601330434,10
HON,0.321780513,0.532025656,0.672656769,18
IBM,0.131052997,0.380926783,0.716073609,8
INTC,-3.163419278,-1.610928611,3.452453868,33
INTU,0.115128237,0.314518288,0.600582864,9
JNJ,-0.824823938,-4.523028668,0.8760531,7
JPM,0.772876215,0.915934981,0.627427856,22
KHC,-0.563943952,-1.122990191,1.1003432,15
KO,-0.846689565,-3.577383602,0.952339611,11
LIN,-0.747662238,-5.043617055,0.811389777,5
LLY,-1.046477984,-2.589582639,1.412572096,15
LMT,-0.016834184,-0.023118317,1.36485413,19
LOW,0.523600052,0.900980518,0.873764393,13
MA,0.763154254,1.991581021,0.245200736,11
MCD,0.320746326,0.59147567,0.576733569,15
MDLZ,-0.873078523,-2.287035726,1.414771559,11
MDT,-0.60513495,-2.952582058,0.86959669,7
MET,-0.268899185,-0.876108439,0.604919735,7
META,0.937327546,1.068308065,0.891265843,19
MMM,1.422850807,1.254919422,0.663423125,22
MO,0.423547442,0.910221578,0.581859018,13
MRK,-1.589155027,-2.413215857,1.875756192,16
MS,1.303636449,2.168271709,0.65478454,13
MSFT,-0.098661732,-0.128488018,1.035057515,21
NEE,-0.930975324,-2.613941002,1.141082092,9
NFLX,1.58153207,1.895366727,0.799664245,17
NKE,-0.031332431,-0.040373825,1.090668557,16
NVDA,0.262100164,0.177515722,1.899452743,38
ORCL,-0.117400675,-0.315715227,0.858931541,11
PEP,-0.778139448,-1.661307367,0.995231698,15
PFE,-0.560358601,-0.883928353,1.430592437,19
PG,-0.127094006,-0.790520382,0.393961892,5
PM,0.007726187,0.021309952,0.542338201,13
PYPL,0.244347018,0.839056279,0.391133534,7
QCOM,-0.833395573,-0.915592272,1.176194038,15
RTX,-0.206692316,-0.791107653,0.588213099,7
SBUX,-0.261285399,-1.048023209,0.947089239,9
SCHW,0.599253667,1.795539134,0.687127478,9
SO,-0.085712398,-0.210145266,0.829562327,13
SPG,-0.021327452,-0.086251383,0.360484462,7
T,0.949251235,1.610034294,0.302186914,15
TGT,-0.640515003,-0.844911331,1.37818441,9
TMO,-0.581850024,-1.088978338,1.273725146,15
TMUS,-0.076339625,-0.281215828,0.67047974,5
TSLA,4.132760917,2.069980663,1.669937826,39
TXN,-0.203763734,-0.209037147,0.988224573,23
UNH,-0.846180856,-1.319708331,1.397276631,15
UNP,-0.623477528,-1.858864233,0.773366447,9
UPS,-0.246137955,-0.631878795,0.629830882,9
USB,-0.247271006,-0.874837176,0.73611214,9
V,0.861587566,2.010324127,0.471361982,13
VZ,-0.332297945,-0.426534526,0.818004532,21
WFC,0.634078899,0.860754606,0.822521988,19
WMT,1.350409966,3.405930871,0.277639752,11
