step,type,price,shares
1,buy,219.21911346815338,22.903211030186434
4,sell,207.7842513469563,22.903211030186434
5,buy,210.14168486730497,23.88247487204254
22,sell,228.5162679307367,23.88247487204254
23,buy,230.44261240920466,21.81903098919116
33,sell,215.08996894541343,21.81903098919116
34,buy,217.0819429276168,23.09953885530282
53,sell,229.78716005909584,23.09953885530282
54,buy,232.18993636634548,21.665286851063946
73,sell,222.82120643826494,21.665286851063946
74,buy,225.76878995620476,22.277881047134603
93,sell,246.59281274909264,22.277881047134603
94,buy,248.7065204012336,20.253872308771136
