step,type,price,shares
1,buy,99.74157479171072,50.40322580645161
20,sell,102.50090790487675,50.40322580645161
21,buy,103.63190628173048,48.58043006657123
40,sell,103.6152377613681,48.58043006657123
41,buy,104.77586188065956,48.05074316711537
60,sell,110.72561860853743,48.05074316711537
61,buy,112.15843631829523,44.99814078198778
80,sell,113.05799703567195,44.99814078198778
81,buy,114.3236207184793,44.186284858500244
100,sell,115.86409810961747,44.186284858500244
101,buy,117.07456988807022,43.18434525354822
120,sell,116.18809920853751,43.18434525354822
121,buy,117.27710002786371,43.02892189455522
140,sell,112.18918427905999,43.02892189455522
141,buy,113.12255539501587,44.476023811622035
