step,type,price,shares
1,buy,511.93262820548796,9.81701091651614
11,sell,560.1612340189955,9.81701091651614
12,buy,564.5312305648168,8.934477400727884
29,sell,519.4698731222727,8.934477400727884
30,buy,524.634811664272,9.5935528475347
44,sell,484.86336415683786,9.5935528475347
45,buy,489.7203069789539,10.227207508644755
64,sell,478.5089345491734,10.227207508644755
65,buy,484.15541769019137,10.341202057366905
84,sell,513.9999743554355,10.341202057366905
85,buy,518.9049354329758,9.671310941556786
91,sell,472.24579554004873,9.671310941556786
92,buy,477.0838059506123,10.471543288470748
96,sell,435.08016769640966,10.471543288470748
97,buy,438.3622248446872,11.312278861155624
