step,type,price,shares
1,buy,145.5369045987224,34.570974210053244
6,sell,132.02498444029774,34.570974210053244
7,buy,133.1755240259119,37.54643200702467
8,sell,134.08040393478458,37.54643200702467
9,buy,135.27929119523708,36.92220728487249
19,sell,155.67167206271702,36.92220728487249
20,buy,157.0850732088215,32.0666880308388
25,sell,145.40695916285756,32.0666880308388
26,buy,147.1939344698514,34.13681052259713
28,sell,136.19212528679802,34.13681052259713
29,buy,137.59801780946867,36.34616187313617
40,sell,155.9736023886428,36.34616187313617
41,buy,157.5994027137557,31.966127028505472
60,sell,155.44226208738553,31.966127028505472
61,buy,156.98231276193638,32.04270598811742
70,sell,143.62615980123473,32.04270598811742
71,buy,144.64841315353166,34.60146899977889
81,sell,134.2396649864795,34.60146899977889
82,buy,135.31947751626853,36.81826902532951
102,buy,127.52327278414826,39.07003065947561
