step,type,price,shares
1,buy,195.03961452499976,25.778511033202722
7,sell,180.67804290563987,25.778511033202722
8,buy,182.47830641623895,27.375504876529863
27,sell,185.3833059113993,27.375504876529863
28,buy,187.4068551061042,26.743408791800558
32,sell,208.84390059569438,26.743408791800558
33,buy,211.31173449433692,23.867514662860536
42,sell,197.25891917744678,23.867514662860536
43,buy,199.45286555985035,25.185791798571707
52,sell,225.62766848003184,25.185791798571707
53,buy,227.87270362986249,22.151483874777664
