step,type,price,shares
1,buy,133.10988577715145,37.721614485099956
20,sell,144.30641634349408,37.721614485099956
21,buy,145.65921066671604,34.67441951456974
22,sell,165.4239796037019,34.67441951456974
23,buy,167.47686800152206,30.37772160138277
29,sell,156.53149581981668,30.37772160138277
30,buy,158.01956822065844,32.05230967760089
49,sell,149.71188966144106,32.05230967760089
50,buy,151.18969172554705,33.389297137370875
56,sell,142.31973182764162,33.389297137370875
57,sell,140.2207953365513,35.03054786759644
58,buy,142.06905945964706,35.41276066297598
65,sell,164.34134332815376,35.41276066297598
66,buy,166.03661732975456,30.521978211785324
77,sell,151.48900882587728,30.521978211785324
78,buy,152.62578629683577,33.040298864924246
80,sell,135.69457605714322,33.040298864924246
81,buy,136.72000724685472,36.64126733565226
83,sell,156.5123089395741,36.64126733565226
84,buy,158.36935114759868,31.94551424824217
102,sell,179.35705270800028,31.94551424824217
103,buy,181.18997061062134,28.071886626263346
119,sell,168.6684355511914,28.071886626263346
120,buy,170.0877308353646,29.77854208603941
138,sell,158.41155956361956,29.77854208603941
139,buy,159.8785025976617,31.550629705659137
147,sell,181.82547256851544,31.550629705659137
148,buy,183.7418168335308,27.68644689157369
149,sell,223.42619221428447,27.68644689157369
150,sell,248.27782374035002,22.80727577331285
151,buy,250.54357629972037,20.61260000802222
152,sell,221.95097965756014,20.61260000802222
153,buy,224.34321927799553,22.911688825732007
