step,type,price,shares
1,buy,237.59701463600229,21.091706740909473
20,sell,234.04768999364805,21.091706740909473
21,buy,236.51962609085942,21.222582895717515
31,sell,220.90778094560488,21.222582895717515
32,buy,222.82101004688204,22.398557628505316
51,sell,236.27648324077228,22.398557628505316
52,buy,238.6309219931827,21.02918747836798
67,sell,223.8248241931676,21.02918747836798
68,buy,226.19958575491364,22.14206424998965
77,sell,251.7145109413667,22.14206424998965
78,buy,253.92666798389038,19.801374143065836
97,sell,262.8155484342358,19.801374143065836
98,buy,265.1272174242411,18.98655235527922
117,sell,275.12071825027476,18.98655235527922
118,buy,278.11723321735616,18.15866873266259
137,sell,287.06759845258335,18.15866873266259
138,buy,289.45603224556703,17.480731766647995
157,sell,300.63366456817823,17.480731766647995
158,buy,303.58957406439873,16.713103098587084
