step,portfolio_value,position_size,reward
0,100004.5050595065,132.5908247149297,-0.22817595475607938
1,100050.91184815673,132.5908247149297,-0.21640962610136807
2,100080.08182959401,132.5908247149297,-0.2177324993042679
3,100119.85907700848,132.5908247149297,-0.21678586428953836
4,100163.61404916442,132.5908247149297,-0.2170031766444754
5,100035.00094919093,132.5908247149297,-0.22390946301182824
6,100042.95639867384,132.5908247149297,-0.2199035261304459
7,100106.599994537,132.5908247149297,-0.21776611207917995
8,100176.8731316359,132.5908247149297,-0.21790748912752708
9,100195.435847096,132.5908247149297,-0.2205677250274774
10,100163.61404916442,132.5908247149297,-0.22220456003352368
11,100199.41357183745,132.5908247149297,-0.21951928859833628
12,100228.58355327473,132.5908247149297,-0.21844672014116523
13,100304.16032336224,132.5908247149297,-0.21537930925275398
14,100298.85669037365,132.5908247149297,-0.20962006810810924
15,100272.33852543066,132.5908247149297,-0.20656213587165356
16,100224.60582853328,132.5908247149297,-0.2079353972528013
17,100078.75592134686,132.5908247149297,-0.21261379568426966
18,100171.56949864731,132.5908247149297,-0.20530076010592085
19,100123.48287979199,0.0,-0.22234317836677225
20,100057.45721483088,128.16626072682027,-0.2142455367952207
21,100030.54230007825,128.16626072682027,-0.2118199029665057
22,100013.88068618377,128.16626072682027,-0.21131727927927849
23,100070.27384090357,128.16626072682027,-0.20834246406534163
24,100127.94865823063,128.16626072682027,-0.20848303974478494
25,100136.9202964815,128.16626072682027,-0.21057801439697138
26,100295.84645978277,128.16626072682027,-0.20168652342118087
27,100220.22836595394,128.16626072682027,-0.2144165121299268
28,100168.96186166322,128.16626072682027,-0.21429718761736322
29,100115.13203215796,128.16626072682027,-0.214363016540498
30,100089.49878001258,128.16626072682027,-0.21373618988753731
31,100124.10367040883,128.16626072682027,-0.21133417035041685
32,100108.72371912161,128.16626072682027,-0.21327091136774656
33,100144.61027212512,128.16626072682027,-0.21114468941664705
34,100085.65379219079,128.16626072682027,-0.21422695689646734
35,100086.93545479805,128.16626072682027,-0.21235453155759315
36,100089.49878001258,128.16626072682027,-0.21225886435260896
37,100199.72176423765,128.16626072682027,-0.20770276943146673
38,100180.49682512863,128.16626072682027,-0.21132833253158043
39,100156.2624239954,0.0,-0.22136428607206768
40,100161.19487924756,126.1096227952599,-0.2104185693013382
41,100133.4507622326,126.1096227952599,-0.2103840085454961
42,100381.88671913926,126.1096227952599,-0.19937009199702788
43,100376.84233422745,126.1096227952599,-0.2170277780900051
44,100405.84754747036,126.1096227952599,-0.2155752929220885
45,100487.81880228728,126.1096227952599,-0.21321483268008182
46,100462.59687772823,126.1096227952599,-0.21777506628231696
47,100428.54727957351,126.1096227952599,-0.21568066002090613
48,100357.92589080817,126.1096227952599,-0.21645764971371806
49,100426.02508711761,126.1096227952599,-0.21139583175601392
50,100431.06947202941,126.1096227952599,-0.21348387197343854
51,100468.902358868,126.1096227952599,-0.21191511076144995
52,100374.32014177155,126.1096227952599,-0.21711980398641365
53,100465.11907018414,126.1096227952599,-0.21134610522982922
54,100453.76920413256,126.1096227952599,-0.2158566732781348
55,100427.28618334555,126.1096227952599,-0.21577782122132158
56,100365.49246817589,126.1096227952599,-0.21745818966709698
57,100357.92589080817,126.1096227952599,-0.21616393587853167
58,100303.6987530062,126.1096227952599,-0.21682256114239432
59,100341.403452821,0.0,-0.22367576856667098
60,100727.86074543296,120.45786729030134,-0.20153926348862664
61,100650.76771036716,120.45786729030134,-0.2347233864267426
62,100694.13254259167,120.45786729030134,-0.23070208849255672
63,100808.56751651746,120.45786729030134,-0.22346849011059655
64,100782.06678571358,120.45786729030134,-0.22940306541173078
65,100783.2713643865,120.45786729030134,-0.22856356737963962
66,100786.8851004052,120.45786729030134,-0.22820331443208305
67,100859.44779040504,0.0,-0.23340310623655922
68,100830.2377605571,108.47434694601532,-0.23145878820642254
69,100796.61071300383,108.47434694601532,-0.2298221483546975
70,100759.72943504219,108.47434694601532,-0.23020905407084064
71,100802.03443035114,108.47434694601532,-0.22745545093775932
72,100860.61057770198,108.47434694601532,-0.22676039920227564
73,100914.84775117498,108.47434694601532,-0.22570289967352003
74,100941.9663379115,108.47434694601532,-0.22642073866083712
75,100944.13582485041,108.47434694601532,-0.22720527723851894
76,100915.93249464445,108.47434694601532,-0.22818017471522842
77,100864.94955157982,108.47434694601532,-0.22868186431450377
78,100841.0851952517,108.47434694601532,-0.2281999172842086
79,100792.271739126,108.47434694601532,-0.2288498638633009
80,100860.61057770198,108.47434694601532,-0.2247628653749842
81,100861.69532117144,108.47434694601532,-0.20646848537781667
82,100770.57686973679,108.47434694601532,-0.2087617376852085
83,100753.22097422542,108.47434694601532,-0.20781884418619942
84,100789.0175087176,108.47434694601532,-0.20360759175837262
85,100789.0175087176,108.47434694601532,-0.20509574606584555
86,100744.54302646974,108.47434694601532,-0.2068673157008697
87,100696.68383097363,0.0,-0.21837069213615246
88,100628.20946580613,110.72870445455645,-0.20737683390073494
89,100456.57997390156,110.72870445455645,-0.21083391052609698
90,100443.29252936701,110.72870445455645,-0.20998608739163493
91,100530.76820588611,110.72870445455645,-0.2058942190401666
92,100467.09528421529,0.0,-0.22376549065969947
93,100488.91231164115,114.45328694943643,-0.2096901552611084
94,100508.36937042256,114.45328694943643,-0.20865456723667927
95,100484.33418016318,114.45328694943643,-0.21025535051468955
96,100484.33418016318,114.45328694943643,-0.20929096900323346
