step,type,price,shares
1,buy,37.937054314045,132.5908247149297
20,sell,38.90678411264953,132.5908247149297
21,buy,39.275518605458764,128.16626072682027
40,sell,39.570699696605466,128.16626072682027
41,buy,39.91093209239047,126.1096227952599
60,sell,41.41969337370932,126.1096227952599
61,buy,41.93079838257484,120.45786729030134
68,sell,46.27552838949915,120.45786729030134
69,buy,46.70592756816033,108.47434694601532
88,sell,45.251422820187116,108.47434694601532
89,buy,45.64557481333123,110.72870445455645
93,sell,43.61677301528687,110.72870445455645
94,buy,44.16729685948439,114.45328694943643
