step,type,price,shares
1,buy,3527.8763018039863,1.4237510144225978
20,sell,3778.064855526558,1.4237510144225978
21,buy,3822.7729325777045,1.3209641597329456
40,sell,3934.3693248257614,1.3209641597329456
41,buy,3968.9615951530395,1.2700542515867965
60,sell,3923.576778679519,1.2700542515867965
61,buy,3969.9893047876644,1.2708074695691098
64,sell,3633.159923524112,1.2708074695691098
65,buy,3667.9301335103683,1.3715985947587483
70,sell,3296.9018062896885,1.3715985947587483
71,buy,3333.830837750488,1.5005730049805732
81,sell,3674.2931756093403,1.5005730049805732
82,buy,3700.290892702382,1.355881050332057
100,sell,3955.266754486924,1.355881050332057
101,buy,3992.880388845692,1.2628289685868332
120,sell,4265.621076250039,1.2628289685868332
121,buy,4312.610980130043,1.173128676176333
133,sell,4651.216075435942,1.173128676176333
134,buy,4695.387023668793,1.0823664994720366
137,sell,4966.694028985226,1.0823664994720366
138,buy,5021.402998200897,1.0149295567360672
148,sell,5173.148139379846,1.0149295567360672
149,buy,5217.349607163199,0.9755118173909283
166,sell,4923.821921202938,0.9755118173909283
167,buy,4965.061300243328,1.0236722234580522
