step,type,price,shares
1,buy,63.21934771881556,79.51653944020356
20,sell,63.00388298421922,79.51653944020356
21,buy,63.76346828879108,78.88421064595414
40,sell,67.80166822065836,78.88421064595414
41,buy,68.51193913782585,73.50572382055638
60,sell,73.22052268935465,73.50572382055638
61,buy,74.05062822039588,68.37349391853111
80,sell,76.97662174422784,68.37349391853111
81,buy,77.69602218017116,65.24330634096219
100,sell,79.69339095574725,65.24330634096219
101,buy,80.47116724031822,63.039956450215904
108,sell,75.06594696462805,63.039956450215904
109,buy,75.8012164786432,66.70636446236539
