step,type,price,shares
1,buy,796.8593878691509,6.298181085302565
8,sell,740.5755259465426,6.298181085302565
9,buy,747.6417488946728,6.69970364727174
28,sell,770.154998993295,6.69970364727174
29,buy,777.1534730045877,6.455743044140395
48,sell,842.5061341848267,6.455743044140395
49,buy,850.4314274757485,5.914338710453476
68,sell,868.6858223724843,5.914338710453476
69,buy,876.8292225176605,5.741744007963054
88,sell,928.2808695806737,5.741744007963054
89,buy,937.3652272484428,5.390661429474405
108,sell,989.7290099962306,5.390661429474405
109,buy,1001.0531335067934,5.065598658962297
128,sell,1040.924692123784,5.065598658962297
129,buy,1049.517503038599,4.836491320890311
148,sell,1044.1284955717933,4.836491320890311
149,buy,1055.7586556961458,4.814956200366993
