step,type,price,shares
1,buy,40.18368503830981,125.09382036527396
13,sell,49.19226101637853,125.09382036527396
14,buy,49.535947910076125,102.4532188408076
16,sell,46.304367179929834,102.4532188408076
17,buy,46.75483020671226,108.30145236808708
36,sell,47.769560309094125,108.30145236808708
37,buy,48.15222635613223,105.11576344363708
56,sell,48.81662167233189,105.11576344363708
57,buy,49.25879911988399,102.95212288073445
76,sell,52.04796240683421,102.95212288073445
77,buy,52.617740825780345,96.69225129438401
88,sell,58.8056470340913,96.69225129438401
89,buy,59.555024892147195,86.04843907232603
92,sell,55.34014915231275,86.04843907232603
93,buy,55.78677354948043,91.22648448543636
112,sell,55.04949587558228,91.22648448543636
113,buy,55.55760314340519,91.7388537756211
