step,type,price,shares
1,buy,411.0579835866356,12.23151817603601
20,sell,411.4578923914142,12.23151817603601
21,buy,415.6134385065608,12.106520724318507
40,sell,406.39410493692174,12.106520724318507
41,buy,410.69703388346795,12.2420972305755
60,sell,439.44639142450086,12.2420972305755
61,buy,443.98504909536973,11.342856815599466
72,sell,411.9517570487847,11.342856815599466
73,buy,415.64579571244656,12.068768313838921
89,sell,462.0346105491521,12.068768313838921
90,buy,467.30655284596645,10.806988541930322
109,sell,452.06731825774426,10.806988541930322
110,buy,456.94661292058237,11.036011941177515
129,sell,455.90505720638,11.036011941177515
130,buy,460.33900188318285,10.947657811413452
149,sell,469.7105979623876,10.947657811413452
150,buy,474.8162924970354,10.62658268241889
169,sell,450.4701161357705,10.62658268241889
170,buy,455.4288382701069,11.039724122780934
