step,type,price,shares
1,buy,148.78920443179692,33.738191632928476
5,sell,134.1653132001496,33.738191632928476
6,buy,135.72086968512775,36.83616287884568
25,sell,145.68366801201933,36.83616287884568
26,buy,147.02052543182842,34.09479395648471
29,sell,137.8831263277608,34.09479395648471
30,buy,139.00852790604418,35.92466867309284
49,sell,152.05277065613805,35.92466867309284
50,buy,153.58923487541816,32.69603728641021
69,sell,162.46568797431758,32.69603728641021
70,buy,164.0175392606898,30.6977524551277
72,sell,189.40372579792378,30.6977524551277
73,buy,191.40221334525512,26.54835068879416
92,sell,184.49615619323217,26.54835068879416
93,buy,186.6777237397578,27.181450909150634
