step,type,price,shares
1,buy,110.39290374334641,45.545636728001455
20,sell,112.12739587084361,45.545636728001455
21,buy,113.36470099480142,44.37474775362768
29,sell,106.46848821185654,44.37474775362768
30,buy,107.34689816650278,46.67058191903217
49,sell,112.8880576264923,46.67058191903217
50,buy,114.23754247543522,44.029100986024886
53,sell,106.49002204679373,44.029100986024886
54,buy,107.24462597744716,46.70596542755193
73,sell,111.11983203787571,46.70596542755193
74,buy,112.36314619767954,44.71803385939874
81,sell,104.08716389095535,44.71803385939874
82,buy,105.06893055274597,47.60313013404762
101,sell,110.0567958383653,47.60313013404762
102,buy,111.02173540050794,45.05776319568603
116,sell,103.11074630291772,45.05776319568603
117,buy,104.06076793767453,47.98693013268507
125,sell,97.68337837116438,47.98693013268507
126,buy,98.7321937098889,50.3926678567071
