step,portfolio_value,position_size,reward
0,99883.39715330096,5.459290073918788,-0.2168740074636968
1,99920.9024761088,5.459290073918788,-0.21036539071233845
2,99882.85122429358,5.459290073918788,-0.21221977859843638
3,99796.59444112566,5.459290073918788,-0.2121336547931755
4,99801.50780219218,5.459290073918788,-0.21004314183217032
5,99751.66448381731,5.459290073918788,-0.21204872822924956
6,99757.94266740231,5.459290073918788,-0.20931193519791746
7,99742.3290977909,5.459290073918788,-0.2093896825092131
8,99782.89162304012,5.459290073918788,-0.20712141508692586
9,99731.02836733789,5.459290073918788,-0.21059352041037166
10,99822.74444057973,5.459290073918788,-0.20284636498050412
11,99924.61479335905,5.459290073918788,-0.20421796172207612
12,99840.26876171702,5.459290073918788,-0.21324661861579297
13,99815.21062027772,5.459290073918788,-0.21105485196655147
14,99819.19590203169,5.459290073918788,-0.20997649481461228
15,99845.61886598945,5.459290073918788,-0.2088305613003949
16,99806.20279165576,5.459290073918788,-0.21103478135618375
17,99794.79287540127,5.459290073918788,-0.21014346916092763
18,99818.1040440169,5.459290073918788,-0.20836632366712934
19,99772.45277159497,0.0,-0.2216701712064564
20,99781.11403807517,5.633042726490231,-0.20891977777198328
21,99813.05339033437,5.633042726490231,-0.20596473690332034
22,99780.71972508432,5.633042726490231,-0.2083971002866541
23,99768.32703108604,5.633042726490231,-0.20757198152386216
24,99766.86243997715,5.633042726490231,-0.20562033728475074
25,99744.55559078025,5.633042726490231,-0.20646065385411544
26,99700.11088366824,5.633042726490231,-0.206898409059029
27,99672.50897430844,5.633042726490231,-0.2067571340157674
28,99696.61839717782,5.633042726490231,-0.20483534289373814
29,99745.96385146187,5.633042726490231,-0.20351337026416094
30,99769.05932664048,5.633042726490231,-0.20432635297306945
31,99820.20735459702,5.633042726490231,-0.2012284967097646
32,99902.90042182189,5.633042726490231,-0.19763921418994918
33,100071.15940806216,5.633042726490231,-0.19369327188087437
34,100009.64658148888,5.633042726490231,-0.20794257355922022
35,100006.83006012563,5.633042726490231,-0.2067220137658759
36,100014.4346678064,5.633042726490231,-0.2063021089540816
37,99959.00552737774,5.633042726490231,-0.20827093558221357
38,99864.25774871817,5.633042726490231,-0.21066950540569312
39,99914.08275135673,0.0,-0.21712485435019144
40,99938.70650776869,5.433006859705536,-0.20971377952587278
41,99927.4601835691,5.433006859705536,-0.2102194683899484
42,100077.24818269117,5.433006859705536,-0.20376764125175503
43,100122.66812003832,5.433006859705536,-0.21033626545021955
44,100105.71713863603,5.433006859705536,-0.2126912483707277
45,100163.3613414175,5.433006859705536,-0.209869922920051
46,100109.30292316344,5.433006859705536,-0.21410748435470708
47,100165.4258840242,5.433006859705536,-0.20994845721573113
48,100182.37686542647,5.433006859705536,-0.21110388247970785
49,100221.22286447337,5.433006859705536,-0.21021621297006524
50,100268.87033463299,5.433006859705536,-0.20972605731636515
51,100221.82049522793,5.433006859705536,-0.21346808481432947
52,100278.0521162259,5.433006859705536,-0.21004589670820709
53,100252.24533364229,5.433006859705536,-0.2128201381698655
54,100282.34419164505,5.433006859705536,-0.2073488667644022
55,100289.35277049408,5.433006859705536,-0.2073245667513951
56,100255.12482727793,5.433006859705536,-0.20891124403530845
57,100260.34051386325,5.433006859705536,-0.207792021209906
58,100279.46469800941,5.433006859705536,-0.20637563948149484
59,100192.2095833278,0.0,-0.21761025460368072
60,100068.57817607083,5.101020771389694,-0.21202697681924718
61,100017.87402960322,5.101020771389694,-0.2098341568785688
62,100014.15028444011,5.101020771389694,-0.2086481024738879
63,99992.93003803113,5.101020771389694,-0.2050190594425649
64,100038.38013310422,5.101020771389694,-0.20198004884253873
65,100024.70939743689,5.101020771389694,-0.20478813765630816
66,99940.84861595524,5.101020771389694,-0.2068812214757011
67,99940.84861595524,5.101020771389694,-0.20471741105816346
