step,type,price,shares
1,buy,47.45966709413363,105.82010582010582
13,sell,44.82633956964997,105.82010582010582
14,buy,45.21975646341145,110.84532919653704
33,sell,45.778282866015736,110.84532919653704
34,buy,46.11517815300462,108.47284717803161
53,sell,45.781951540155376,108.47284717803161
54,buy,46.16091919028053,108.40455937309738
73,sell,49.600935035797825,108.40455937309738
74,buy,50.06665833476065,100.46157919953161
93,sell,52.210483646358284,100.46157919953161
94,buy,52.71727618363402,95.60632112956978
113,sell,54.57780647879924,95.60632112956978
114,buy,55.13465470666387,91.49781600978979
133,sell,58.11897922027856,91.49781600978979
134,buy,58.64197866971745,86.34794265266679
153,sell,59.15374898804395,86.34794265266679
154,buy,59.69018345591552,84.76861572065731
