step,type,price,shares
1,buy,63.39021162302695,79.26442612555485
10,sell,58.59540696300721,79.26442612555485
11,buy,59.19289196878927,84.51986085203886
19,sell,55.511278405743326,84.51986085203886
20,buy,56.02734038163091,89.02554343185743
39,sell,58.84976116798774,89.02554343185743
40,buy,59.43949179054065,84.18914512009127
44,sell,54.20345777488696,84.18914512009127
45,buy,54.863739374953056,90.71736013457698
47,sell,50.86604833290548,90.71736013457698
48,buy,51.49464938976557,96.55015496717138
49,sell,48.52991306943636,96.55015496717138
50,buy,49.13905316598401,100.92384050108868
51,sell,43.27205622663134,100.92384050108868
52,buy,43.70802401211325,112.46474818322052
