step,type,price,shares
1,buy,63.17147506107678,79.35248373274084
8,sell,56.89962605440815,79.35248373274084
9,sell,55.07268784594347,86.88224697317071
10,buy,55.584554413144225,89.7316331944364
29,sell,60.14494102989598,89.7316331944364
30,buy,60.80061912289326,82.39634452564572
34,sell,56.79546681387539,82.39634452564572
35,buy,57.29131499411084,87.10173851813852
54,sell,62.06534169208372,87.10173851813852
55,buy,62.52534433928934,80.14048111565207
74,sell,62.94954861080073,80.14048111565207
75,buy,63.56725052348327,78.90861854976235
92,sell,70.57064544371345,78.90861854976235
93,buy,71.35150654787817,70.76821478227555
