step,type,price,shares
1,buy,270.2314105346197,18.6046511627907
20,sell,271.9274230126261,18.6046511627907
21,buy,275.2146697380588,18.275690707910286
40,sell,268.5435883576181,18.275690707910286
41,buy,271.3132750292286,18.49924502493721
49,sell,246.52787997920694,18.49924502493721
50,buy,249.23147870617296,20.07111583149458
65,sell,228.9637640607731,20.07111583149458
66,buy,231.14078457131097,21.505609053565813
85,sell,232.92541474480453,21.505609053565813
86,buy,234.77328289919825,21.174408318100287
