step,type,price,shares
1,buy,86.18587564758491,58.4316933504733
20,sell,87.53974042115473,58.4316933504733
21,buy,88.6917344429151,56.853785405252026
40,sell,91.66128714713743,56.853785405252026
41,buy,92.52093025924701,54.41788083959106
60,sell,95.72764956384448,54.41788083959106
61,buy,96.78387672830688,52.1866514195103
67,sell,108.10130163760464,52.1866514195103
68,buy,109.03498964086185,46.48029717606481
87,sell,112.27346850895722,46.48029717606481
88,buy,113.42724684758444,44.8146809300292
