step,type,price,shares
1,buy,56.89531094217579,88.4016973125884
9,sell,53.28678211294897,88.4016973125884
10,buy,53.819740869385036,92.99881487653964
29,sell,51.08612221722764,92.99881487653964
30,buy,51.63282920971883,96.74681629936728
49,sell,51.48718429725217,96.74681629936728
50,buy,52.00445400799143,95.99956488423477
69,sell,52.09217736025516,95.99956488423477
70,buy,52.570990180105035,94.95736938204583
77,sell,49.763169019873125,94.95736938204583
78,buy,50.18900767061565,99.24899105604419
97,sell,52.26732487761779,99.24899105604419
98,buy,52.87125172772872,94.43913178251563
109,sell,48.565827314310376,94.43913178251563
110,buy,49.191936957629025,101.0828616906334
119,sell,45.54959707071988,101.0828616906334
120,buy,45.99048695850649,107.65427347470485
136,sell,42.66484740180308,107.65427347470485
137,buy,43.000870869678536,114.56701349547734
147,sell,38.9289901637075,114.56701349547734
148,buy,39.332699030121205,124.95234542721711
