step,type,price,shares
1,buy,99.90233535071214,50.27146591594611
20,sell,102.88133233509197,50.27146591594611
21,buy,103.91010384874627,48.40244631669637
40,sell,110.1087319240341,48.40244631669637
41,buy,111.21285159583582,45.4066503952493
60,sell,115.31004702511456,45.4066503952493
61,buy,116.67188561369296,43.3409750911947
81,buy,109.68461400461271,45.906219892457415
100,sell,110.86975031015346,45.906219892457415
101,buy,112.02799310477126,44.993589975052444
120,sell,112.9015768688728,44.993589975052444
121,buy,114.19373064795981,44.15344671050926
129,sell,106.92400040796946,44.15344671050926
130,buy,107.98752272469304,46.54974333670737
