step,type,price,shares
1,buy,102.93038213686336,48.76145894285157
20,sell,100.56863862466106,48.76145894285157
21,buy,101.68830773364813,49.42101755869536
40,sell,109.69932604593849,49.42101755869536
41,buy,111.05135902798278,45.404168478001125
59,sell,125.75860819078892,45.404168478001125
60,buy,126.95926503145782,39.94813583702574
79,sell,132.3905779148432,39.94813583702574
80,buy,133.68863429953842,37.98150603052588
88,sell,121.6730260082207,37.98150603052588
89,buy,122.852143449069,41.13561454089428
