step,portfolio_value,position_size,reward
0,99948.65873373937,18.787104531449614,-0.2611448697829305
1,100058.56329524834,18.787104531449614,-0.25325395457566163
2,100104.59170135041,18.787104531449614,-0.2564254475816968
3,100107.22189598481,18.787104531449614,-0.2580931745146504
4,100002.76559478995,18.787104531449614,-0.21695842433441181
5,100020.98908618545,18.787104531449614,-0.21357609209659814
6,99988.48739534605,18.787104531449614,-0.2119208506476464
7,100078.665497097,18.787104531449614,-0.20653626700274105
8,100064.57516869841,18.787104531449614,-0.211430053592178
9,100126.94835574283,18.787104531449614,-0.20840611200504752
10,100119.24564288493,18.787104531449614,-0.20957868408043515
11,100101.21002253474,18.787104531449614,-0.20891553973015173
12,100096.8889884925,18.787104531449614,-0.2079431529993359
13,100106.28254075823,18.787104531449614,-0.2054680477379401
14,100047.10316148416,18.787104531449614,-0.20793549759958846
15,100126.38474260688,18.787104531449614,-0.20340790257956648
16,100212.99329449686,18.787104531449614,-0.20383019834442986
17,100271.98480272562,18.787104531449614,-0.20527978695647214
18,100329.28547154654,18.787104531449614,-0.20544553297182097
19,100358.46687142705,0.0,-0.21566538117701492
20,100290.08762507008,17.400989505050294,-0.21231744561979582
21,100370.13217679331,17.400989505050294,-0.20566712631415354
22,100376.91856270029,17.400989505050294,-0.2076024143482047
23,100414.50470003119,17.400989505050294,-0.20623099653182642
24,100427.55544215998,17.400989505050294,-0.2071798060839386
25,100390.31732461917,17.400989505050294,-0.20610546295053497
26,100303.31237709391,17.400989505050294,-0.2089078968044729
27,100426.68539268473,17.400989505050294,-0.20236476827433791
28,100510.03613241392,17.400989505050294,-0.20486915008676004
29,100599.65122836492,17.400989505050294,-0.2048729137638193
30,100562.06509103402,17.400989505050294,-0.21021640290867857
31,100569.19949673109,17.400989505050294,-0.2089638732776256
32,100556.67078428745,17.400989505050294,-0.20947502399516685
33,100453.1348967324,17.400989505050294,-0.21321094487755518
34,100213.52327124786,17.400989505050294,-0.22121558625048027
35,100223.61584516079,17.400989505050294,-0.2193904778557723
36,100154.18589703564,17.400989505050294,-0.2219683315459029
37,100175.93713391694,17.400989505050294,-0.21836303091511333
38,100179.93936150311,17.400989505050294,-0.21869764884463186
39,100154.25646901883,0.0,-0.2301689198669066
40,100166.45935462389,17.928228639019554,-0.21822759517340504
41,100211.8177730806,17.928228639019554,-0.2157437482891528
42,100206.97715134808,17.928228639019554,-0.21705095187369208
43,100207.33571592085,17.928228639019554,-0.21683293086336677
44,100099.58706180035,17.928228639019554,-0.2208911431618832
45,100023.03352551174,17.928228639019554,-0.22094339525134737
46,100071.79830740987,17.928228639019554,-0.21651211040163074
47,100069.10907311401,17.928228639019554,-0.2182858217423122
48,99948.6313766598,17.928228639019554,-0.22059637933866436
49,99999.36826370822,17.928228639019554,-0.2139719423761217
50,100121.63878302634,17.928228639019554,-0.21012627267020817
51,100152.11677171268,17.928228639019554,-0.2165006227958082
52,100152.11677171268,17.928228639019554,-0.2178830626830763
