step,type,price,shares
1,buy,291.11984166647204,17.236624379481523
20,sell,285.6488980951422,17.236624379481523
21,buy,288.8797190612577,17.386134463557102
40,sell,297.62776757734866,17.386134463557102
41,buy,300.0194233527229,16.74831338328316
60,sell,301.31463725525157,16.74831338328316
61,buy,304.8619629097525,16.52372631346324
77,sell,284.8855088884645,16.52372631346324
78,buy,287.2476861239296,17.407216354325282
92,sell,267.3538045151065,17.407216354325282
93,buy,269.11054866203,18.531047177190892
