step,type,price,shares
1,buy,63.84506899415424,78.70297497245396
20,sell,63.45217205515642,78.70297497245396
21,buy,64.14492846102299,78.3663127204885
40,sell,68.06372959610428,78.3663127204885
41,buy,68.61971341464192,73.29385244808148
60,sell,71.9113202705927,73.29385244808148
61,buy,72.71578740047843,69.58051416904526
80,sell,73.57369881070504,69.58051416904526
81,buy,74.19485972086711,68.1093871132281
95,sell,81.27678186592335,68.1093871132281
96,buy,82.02431545001298,61.82459305577186
115,sell,83.47593157487364,61.82459305577186
116,buy,84.21572449901971,60.21101557414767
136,buy,97.66424864961309,52.45271053537613
139,sell,91.48100872693861,52.45271053537613
140,buy,92.1586166409573,55.2598438020038
143,sell,86.4544361634545,55.2598438020038
144,buy,87.52662199542408,58.14941269026468
163,sell,90.14178337128823,58.14941269026468
164,buy,91.24773819537504,55.87724241235008
