step,type,price,shares
1,buy,44.94006067091574,111.75681716584711
16,sell,53.28410336015759,111.75681716584711
17,buy,53.94247807702815,94.13077321700726
23,sell,50.427731379384596,94.13077321700726
24,buy,50.954400266446065,99.3003524133323
30,sell,57.26979746074531,99.3003524133323
31,buy,57.800768987794235,87.96541353315028
45,sell,53.384811103490634,87.96541353315028
46,buy,53.79215225509739,94.15358891206495
56,sell,49.71293312176929,94.15358891206495
57,buy,50.206638008196606,100.45080735952
