step,type,price,shares
1,buy,174.1002371237023,28.85836315364193
20,sell,175.11822134462625,28.85836315364193
21,buy,176.6769772783839,28.367651282412048
40,sell,186.7359377998023,28.367651282412048
41,buy,188.42642488808113,26.715104916821183
47,sell,173.22722656974372,26.715104916821183
48,buy,174.51170573116568,28.714974685336816
55,sell,159.29466217581097,28.714974685336816
56,buy,160.9859780605489,31.032171834176836
75,sell,157.49691261205996,31.032171834176836
76,buy,158.72841455910395,31.39258292495795
95,sell,167.11733501416572,31.39258292495795
96,buy,168.67095394043176,29.601416132353393
115,sell,169.9197793190301,29.601416132353393
116,buy,171.886506310713,29.139771961400374
135,sell,169.64291946265533,29.139771961400374
136,buy,171.36396660600684,29.20804045124312
145,sell,195.9007286490544,29.20804045124312
146,buy,197.55546619714283,25.48671493044723
