step,type,price,shares
1,buy,198.45528066287335,25.29980266153924
20,sell,211.38815685891615,25.29980266153924
21,buy,213.21843470008167,23.634096950753936
40,sell,210.06369108511643,23.634096950753936
41,sell,199.2729380416236,23.703583181534707
42,buy,201.26013762153318,24.93427408590955
61,sell,198.0631658482525,24.93427408590955
62,buy,200.19279544577685,25.064500246807903
81,sell,201.28579891997958,25.064500246807903
82,buy,203.0822995745757,24.674890422231375
101,sell,219.70989363497978,24.674890422231375
102,buy,222.27705625449656,22.69142928182609
106,sell,205.82699598205525,22.69142928182609
107,buy,208.14252859147416,24.12943687769582
118,sell,231.74654033047273,24.12943687769582
119,buy,234.30797102896474,21.578119365970377
138,sell,227.88108473059668,21.578119365970377
139,buy,230.361683838483,21.895310086322397
