step,type,price,shares
1,buy,189.40186875923732,26.52660618600456
20,sell,198.51347462317386,26.52660618600456
21,buy,200.0655814355081,25.149677574694156
40,sell,200.96009332034447,25.149677574694156
41,buy,202.60250327953605,24.809207818357276
60,sell,211.90669754932821,24.809207818357276
61,buy,214.05691668788157,23.60673260519463
63,sell,195.91507494518055,23.60673260519463
64,buy,197.81963555876163,25.398981468437082
81,sell,217.46202556587954,25.398981468437082
82,buy,219.72243216626225,22.97011899436891
89,sell,202.3231244933973,22.97011899436891
90,buy,204.16502234305298,24.627569958769946
109,sell,208.7633899669572,24.627569958769946
110,buy,210.67409771783664,23.906291462613613
129,sell,219.10754055404186,23.906291462613613
130,sell,244.9459706768429,22.79109064237624
131,buy,246.82228830452576,20.53997758767451
150,sell,242.94099217338677,20.53997758767451
151,buy,245.7378851867533,20.6546747125478
159,sell,228.01306538030985,20.6546747125478
160,buy,230.44732717347006,21.928302918600224
