step,type,price,shares
1,buy,32.616100171326195,154.17823003391922
20,sell,31.844384581842732,154.17823003391922
21,buy,32.17894606276061,155.91016087199606
40,sell,34.28062750209162,155.91016087199606
41,buy,34.573539081602036,145.38383877612517
60,sell,34.55234228920411,145.38383877612517
61,buy,34.87110595270912,144.32502898366562
80,sell,35.18115691765629,144.32502898366562
81,buy,35.498272153065585,141.68805214521987
90,sell,33.14495402994021,141.68805214521987
91,buy,33.49596996667089,149.94270198751036
101,sell,31.21814853246623,149.94270198751036
102,buy,31.574039927812453,158.51183703614245
121,sell,31.510930070969458,158.51183703614245
122,buy,31.853142465335992,157.03759883577195
