step,type,price,shares
1,buy,457.2120096276796,10.996744963490807
20,sell,460.01360331686766,10.996744963490807
21,buy,464.32932450710547,10.832802499915696
40,sell,459.5985910349031,10.832802499915696
41,buy,463.16704460739226,10.844091822961865
56,sell,507.4057153018411,10.844091822961865
57,buy,511.5728328882783,9.864276257006319
76,sell,544.653962230774,9.864276257006319
77,buy,550.14519582375,9.206831803526134
96,sell,557.8881835756519,9.206831803526134
97,buy,564.7649146882774,8.976824098525892
116,sell,603.5605364102058,8.976824098525892
117,buy,608.262263212015,8.35074586072838
121,sell,557.6008590329244,8.35074586072838
122,buy,563.3934739757385,8.984782674188208
138,sell,525.3345924214493,8.984782674188208
139,buy,531.5897446059398,9.514558703734812
158,sell,488.29988808888675,9.514558703734812
159,buy,493.0357978887779,10.189640505957067
