step,type,price,shares
1,buy,218.54904149523483,22.991677012921322
20,sell,236.39867001063328,22.991677012921322
21,buy,238.8239160890207,21.118366752525308
40,sell,247.28955404650117,21.118366752525308
41,buy,249.44246239978176,20.25103901544591
60,sell,262.3258613360292,20.25103901544591
61,buy,265.1720233577439,19.116275625327546
80,sell,269.26462941218205,19.116275625327546
81,buy,271.3506475854105,18.696297679289433
100,sell,256.81247579358376,18.696297679289433
101,buy,259.2205295699346,19.493803126504076
120,sell,247.53516629685697,19.493803126504076
121,buy,250.04817459638213,20.184595703789316
