step,type,price,shares
1,buy,255.41936892548435,19.669551534225022
20,sell,245.55824431314826,19.669551534225022
21,buy,248.1476042534085,20.199382508654814
40,sell,261.8800508750713,20.199382508654814
41,buy,264.38223201532514,19.00367355089335
60,sell,284.9759788727882,19.00367355089335
61,buy,287.8329562936703,17.54934697949518
80,sell,297.5941698893664,17.54934697949518
81,buy,300.45805562187496,16.846187611643636
100,sell,295.46445132567976,16.846187611643636
101,buy,298.13410112740763,16.938454886926028
120,sell,287.40699175591874,16.938454886926028
121,buy,290.57197827306965,17.35195832705276
140,sell,288.3431924543637,17.35195832705276
141,buy,291.32449660797334,17.28045841959941
