step,type,price,shares
1,buy,475.3582646872254,10.569260363159787
20,sell,517.2691971105542,10.569260363159787
21,buy,521.2806437682793,9.68242412059936
33,sell,458.49388330166437,9.68242412059936
34,buy,463.03731771111705,10.822551502368679
44,sell,494.99431628833383,10.822551502368679
45,buy,499.06099501222326,10.079468144940563
46,sell,472.9789492520557,10.079468144940563
47,buy,476.98150443262165,10.517785919660973
59,sell,527.9804228889053,10.517785919660973
60,buy,533.7180094859593,9.456417146964547
79,sell,558.0532242793983,9.456417146964547
80,buy,563.8701199613871,8.972544411172478
99,sell,573.3380938599495,8.972544411172478
100,buy,579.2650380361437,8.7441062824621
119,sell,551.1029296917893,8.7441062824621
120,buy,557.1180635885352,9.074728948223989
131,sell,611.1268817322983,9.074728948223989
132,buy,615.8858806969563,8.231625603731612
