step,type,price,shares
1,buy,90.77505787782604,55.30361685654242
16,sell,102.67937095584003,55.30361685654242
17,buy,103.40961989815771,48.85119501291065
23,sell,97.25221914412015,48.85119501291065
24,buy,98.1225618095031,51.3916339927674
43,sell,99.82751118966203,51.3916339927674
44,buy,100.81807081234282,50.029808797423904
63,sell,101.8893768525538,50.029808797423904
64,sell,124.9528476846978,49.1144611931175
65,buy,126.51818224358459,40.36187481625455
70,sell,122.6119973561433,40.36187481625455
71,buy,124.14056887272184,41.120877924674616
90,sell,129.55643891169953,41.120877924674616
91,buy,130.77604286579933,39.037014981001875
110,sell,135.64490294543006,39.037014981001875
111,buy,137.11801561298373,37.337960541443074
126,sell,126.44307274491636,37.337960541443074
127,buy,127.80115023934349,39.85014722836096
146,sell,127.2566876971649,39.85014722836096
147,buy,128.60242766081973,39.64640787280144
166,sell,126.28389117768873,39.64640787280144
167,buy,127.72563202874669,39.82968667608811
