step,type,price,shares
1,buy,129.62008340893357,38.71467286101432
12,sell,121.77512854608015,38.71467286101432
13,buy,122.6744396509939,40.8537901799772
32,sell,125.31102341966512,40.8537901799772
33,sell,112.94823425348676,39.622833186778216
34,buy,113.99076994549118,43.69103564354189
53,sell,114.36085499749477,43.69103564354189
54,buy,115.5269208114488,43.22406266659801
73,sell,113.04579983737965,43.22406266659801
74,buy,114.33753244562624,43.558366337891435
91,sell,105.02619424017948,43.558366337891435
92,buy,106.32901152437272,46.799312358932376
108,sell,97.22911156198428,46.799312358932376
109,buy,98.09176950442196,50.3052691454344
128,sell,99.82394139063314,50.3052691454344
129,buy,100.85844968211556,48.97885117253962
