step,type,price,shares
1,buy,404.01553206445215,12.436882819690073
20,sell,417.71089008938316,12.436882819690073
21,buy,421.04819869756176,11.941489950562554
40,sell,438.5763754959784,11.941489950562554
41,buy,443.2606664109831,11.382331328339951
60,sell,446.16253480165943,11.382331328339951
61,buy,450.8816742000891,11.20956699410611
67,sell,415.49660857842304,11.20956699410611
68,buy,418.9877556067385,11.995088851258759
74,sell,391.8220962304361,11.995088851258759
75,buy,396.30424958363784,12.658784399431568
94,sell,406.0221024619144,12.658784399431568
95,buy,411.5367736259458,12.209764487771261
114,sell,418.22486756707804,12.209764487771261
115,buy,421.68314699622954,11.892303650666332
134,sell,428.69340363550367,11.892303650666332
135,buy,433.1466412213485,11.591582233830122
136,sell,402.8368856642505,11.591582233830122
137,buy,406.8755786128839,12.277982168675978
156,sell,421.6082843539677,12.277982168675978
157,buy,425.8225235805983,11.77886978942527
