step,type,price,shares
1,buy,91.37332157427875,55.07821105970478
20,sell,97.81242362405861,55.07821105970478
21,buy,98.51714086372087,51.136080419655
40,sell,102.55439331958097,51.136080419655
41,buy,103.55002818958579,48.7826278268568
48,sell,110.08718755480494,48.7826278268568
49,buy,111.24420060061018,45.59875289180957
64,sell,129.88523841767957,45.59875289180957
65,buy,131.39642227030666,38.93314648327125
84,sell,128.8386536274432,38.93314648327125
85,buy,129.98192674474197,39.24461336674002
93,sell,119.65299115653578,39.24461336674002
94,buy,120.81429341206994,42.08002765715354
