step,portfolio_value,position_size,reward
0,100056.77775041321,8.18973989386097,-0.23929642785564442
1,100218.27942112014,8.18973989386097,-0.2150455848407423
2,100298.45697468104,8.18973989386097,-0.21958588743336663
3,100215.4130121573,8.18973989386097,-0.22270430547459535
4,100176.10226066675,8.18973989386097,-0.21598289426492012
5,100266.84457869074,8.18973989386097,-0.21115538224456054
6,100285.27149345193,8.18973989386097,-0.21370380848859255
7,100331.29783165542,8.18973989386097,-0.2122378132295764
8,100274.29724199415,8.18973989386097,-0.21415013488912885
9,100224.83121303523,8.18973989386097,-0.21515730502672165
10,100160.7055496663,8.18973989386097,-0.21577734803096899
11,100142.93381409661,8.18973989386097,-0.21378957674283194
12,100295.67246311712,8.18973989386097,-0.20442314173623047
13,100281.34041830288,8.18973989386097,-0.2129914020982525
14,100223.60275205116,8.18973989386097,-0.21486689021368327
15,100248.41766392955,8.18973989386097,-0.212362536987132
16,100281.58611049969,8.18973989386097,-0.21192383981279736
17,100293.95261773941,8.18973989386097,-0.21257859572475518
18,100320.15978539977,8.18973989386097,-0.21179510104968102
19,100414.6365288953,0.0,-0.2176971968312043
20,100441.95291795842,7.50057041806562,-0.21468349790207622
21,100515.75853087218,7.50057041806562,-0.21114592002055227
22,100465.95474329623,7.50057041806562,-0.21343587282877452
23,100519.1337875603,7.50057041806562,-0.20943249751954973
24,100390.87403341138,7.50057041806562,-0.21540882447855875
25,100416.30096712863,7.50057041806562,-0.21217249130482854
26,100455.90397893602,7.50057041806562,-0.2107244440048382
27,100505.78277221616,7.50057041806562,-0.21036296953219802
28,100434.82737606125,7.50057041806562,-0.21514490345785092
29,100425.30165163032,7.50057041806562,-0.2131805917217662
30,100470.08005702616,7.50057041806562,-0.21058317062794635
31,100492.05672835109,7.50057041806562,-0.21063462310387632
32,100553.11137155414,7.50057041806562,-0.20883244138112608
33,100516.28357080145,7.50057041806562,-0.21005495531020643
34,100516.28357080145,7.50057041806562,-0.20896433188086921
35,100455.6039561193,7.50057041806562,-0.21054160586159476
36,100268.83975270946,7.50057041806562,-0.21664078897823663
37,100230.21181505642,7.50057041806562,-0.21669036616966655
38,100296.5918632563,7.50057041806562,-0.21278302075458336
39,100270.05459472044,0.0,-0.22772366253358428
40,100169.86121808768,7.638808400987356,-0.21855836471961504
41,100136.09768495531,7.638808400987356,-0.21502959500254964
42,100062.00124346574,7.638808400987356,-0.21566517078139338
43,100170.16677042372,7.638808400987356,-0.20888860051544653
44,100133.95881860303,7.638808400987356,-0.2161615254023866
45,100082.24408572835,7.638808400987356,-0.21507492920965146
46,100067.73034976647,7.638808400987356,-0.21373417124483043
47,100046.95279091579,7.638808400987356,-0.21356461761428094
48,100013.26564586743,7.638808400987356,-0.2134195382683226
49,99959.08895981948,0.0,-0.22448052249207862
50,99988.25285411406,8.027810800203948,-0.2113424820553524
51,99960.15551631336,8.027810800203948,-0.2124775147216779
52,99870.16375724306,8.027810800203948,-0.2147299076752703
53,99749.024092268,8.027810800203948,-0.21563682792840094
54,99837.49056728624,8.027810800203948,-0.20880465643510945
55,99852.82368591463,8.027810800203948,-0.2137137484184991
56,100004.30847571448,8.027810800203948,-0.20834250429888318
57,100033.12831648721,8.027810800203948,-0.21317981450663573
58,100026.70606784704,8.027810800203948,-0.21455714861142283
59,100146.15989255407,8.027810800203948,-0.2087184771678198
60,100255.81978808486,8.027810800203948,-0.21103679543793274
61,100268.18261671718,8.027810800203948,-0.21552400699262197
62,100355.2843638994,8.027810800203948,-0.21229943901684592
63,100471.36650807034,8.027810800203948,-0.2106104738104511
64,100551.72489418038,8.027810800203948,-0.21171568164090435
65,100540.3254028441,8.027810800203948,-0.2152048555976557
66,100474.81846671442,8.027810800203948,-0.21674908201939466
67,100456.91644862997,8.027810800203948,-0.21567968870916832
