step,type,price,shares
1,buy,613.860279423835,8.18973989386097
20,sell,665.12855256406,8.18973989386097
21,buy,671.8521656967675,7.50057041806562
40,sell,653.2385859092605,7.50057041806562
41,buy,660.2462389324751,7.638808400987356
50,sell,620.1777934490536,7.638808400987356
51,buy,624.4049398282259,8.027810800203948
70,sell,692.5142297100097,8.027810800203948
71,buy,699.5589445779453,7.222774353458329
90,sell,717.6134445305745,7.222774353458329
91,buy,724.8122918040087,6.972799010809198
110,sell,744.0921226595364,6.972799010809198
111,buy,752.4899508227277,6.723376148265933
129,sell,866.7734806786069,6.723376148265933
130,buy,875.2586925979739,5.825534704981506
149,sell,884.2071864315265,5.825534704981506
150,buy,894.122091032281,5.70879112076354
