step,type,price,shares
1,buy,72.73621906409662,69.10850034554251
20,sell,70.29829787153164,69.10850034554251
21,buy,71.21355212314714,70.55879026854659
28,sell,81.3503492552802,70.55879026854659
29,buy,82.08365894178725,61.52027551867624
46,sell,77.57081499679539,61.52027551867624
47,buy,78.69317366036411,64.25707720557607
57,sell,88.45985071418144,64.25707720557607
58,buy,89.31541894621324,56.71019765866464
61,sell,82.11062523893779,56.71019765866464
62,buy,83.06062534926609,60.75390270777598
82,buy,76.4745627796902,65.73382596362173
101,sell,77.51611325232338,65.73382596362173
102,buy,78.20311457970338,64.1891255422741
121,sell,76.0169346339668,64.1891255422741
122,buy,76.78183017650018,65.37919923865505
