step,type,price,shares
1,buy,106.98461118027161,46.97482149567832
7,sell,121.92741776355521,46.97482149567832
8,buy,123.05989758887597,41.130854963256795
10,sell,121.12591300011096,41.130854963256795
11,buy,122.36169973293063,41.31569928377295
17,sell,130.15667003337063,41.31569928377295
18,buy,131.57707951260792,38.59315886287411
19,sell,117.43872613942118,38.59315886287411
20,buy,118.56282560366665,42.50079608227795
30,sell,134.38736109033863,42.50079608227795
31,buy,135.55004895786772,37.45480030053677
34,sell,125.79309389427092,37.45480030053677
35,sell,117.33794007624616,39.842971810086674
36,buy,118.63547990469648,42.509904134982655
41,sell,111.60871751389138,42.509904134982655
42,buy,112.91317288234872,44.53690851197474
44,sell,103.19153661350745,44.53690851197474
45,buy,104.2045977015361,47.99753304799716
48,sell,99.83255088682948,47.99753304799716
49,buy,101.03053989094013,49.45819921676203
55,sell,117.2025740557387,49.45819921676203
56,buy,118.53685159473598,42.40902165248114
68,sell,107.38367354661744,42.40902165248114
69,buy,108.50257180194939,46.14669199031329
71,sell,102.34897458872048,46.14669199031329
72,buy,103.25026332273599,48.326798373876954
84,sell,122.89289865836842,48.326798373876954
85,buy,123.9545657626154,40.61269801873123
88,sell,116.59301381103327,40.61269801873123
89,buy,117.49746013252098,42.74275877288792
93,sell,132.1623062707681,42.74275877288792
94,buy,133.66928357247627,37.86536250156022
113,sell,139.2896468513936,37.86536250156022
114,buy,140.95862271840514,36.03954132690094
129,sell,134.60510502920113,36.03954132690094
130,buy,136.02023916767163,37.17013713668823
142,sell,129.5326609317732,37.17013713668823
143,buy,131.09125136231805,38.48401475672605
