step,type,price,shares
1,buy,170.16982900967707,29.540352120997284
12,sell,160.05945097476294,29.540352120997284
13,buy,161.36212005851854,31.017503057733354
32,sell,160.69143625253903,31.017503057733354
33,buy,162.00874488136765,30.909464970098618
52,sell,167.67176055939,30.909464970098618
53,buy,169.57413426924353,29.59643279874543
72,sell,175.39641179540718,29.59643279874543
73,buy,177.02791343455803,28.362966562687035
90,sell,165.85585250969044,28.362966562687035
91,buy,167.68375233230802,29.928571126813974
110,sell,163.4840705967006,29.928571126813974
111,buy,164.82014012281851,30.318990908084462
130,sell,160.79303020361263,30.318990908084462
131,buy,162.5511508715001,30.752321076761273
