step,portfolio_value,position_size,reward
0,99969.14679998368,186.42803877703207,-0.22273496230052764
1,99903.89698641171,186.42803877703207,-0.22232250769041634
2,99902.03270602395,186.42803877703207,-0.22034976104141715
3,99881.52562175847,186.42803877703207,-0.2202405234527014
4,99782.71876120665,186.42803877703207,-0.223326077320736
5,99859.15425710523,186.42803877703207,-0.2172866691879947
6,99918.81122951387,186.42803877703207,-0.2187798838542798
7,99918.81122951387,186.42803877703207,-0.22157286797352277
8,100028.80377239232,186.42803877703207,-0.2127278654850749
9,99961.6896784326,186.42803877703207,-0.21874516406039007
10,99861.018537493,186.42803877703207,-0.22050374244585833
11,99928.13263145273,186.42803877703207,-0.21397048917423575
12,99961.6896784326,186.42803877703207,-0.21500129841251078
13,100002.70384696354,186.42803877703207,-0.2141403819981259
14,99933.72547261603,186.42803877703207,-0.2177503962516417
15,99911.35410796279,186.42803877703207,-0.21443744173221538
16,99972.87536075921,186.42803877703207,-0.21083980060183058
17,99952.36827649374,186.42803877703207,-0.21477865188199805
18,99915.08266873834,186.42803877703207,-0.2134195460220831
19,99985.92582714603,0.0,-0.22023351742170247
20,100024.3771937714,184.54397531772986,-0.21232800204350347
21,100068.66774784766,184.54397531772986,-0.21124825817574042
22,100101.88566340486,184.54397531772986,-0.21096352115970654
23,100172.01237402558,184.54397531772986,-0.20945866794138426
24,100264.28436168445,184.54397531772986,-0.2086739423935388
25,100208.92116908914,184.54397531772986,-0.21270762765460866
26,100255.05716291856,184.54397531772986,-0.2091913944225659
27,100188.62133180418,184.54397531772986,-0.21342527154914828
28,100172.01237402558,184.54397531772986,-0.21254252520556582
29,100256.90260267175,184.54397531772986,-0.2071233796440826
30,100291.96595798212,184.54397531772986,-0.2086541432011265
31,100469.12817428714,184.54397531772986,-0.200300920645813
32,100459.90097552125,184.54397531772986,-0.21053826757814764
33,100549.93808929712,0.0,-0.21463201102828955
34,100385.24386364546,165.3781876468703,-0.21991765305878674
35,100403.43546428662,165.3781876468703,-0.21435096254472616
36,100367.05226300431,165.3781876468703,-0.21613931240684983
37,100225.35062368483,0.0,-0.23126689189581764
38,100117.36280796523,173.94194832295184,-0.2224202656541156
39,100037.34951173667,173.94194832295184,-0.22099641760889416
40,100023.43415587084,173.94194832295184,-0.21836262707462892
41,99986.90634672302,173.94194832295184,-0.21904116065480672
42,99971.25157137396,173.94194832295184,-0.218269367009464
43,100037.34951173667,173.94194832295184,-0.21492354892011833
44,100042.56777018636,173.94194832295184,-0.21724761422728317
45,100014.73705845469,173.94194832295184,-0.21744510185811966
46,99919.78761000282,0.0,-0.23047892405469605
47,99971.716919708,182.26885736957828,-0.21504889831876084
48,99989.94380544496,182.26885736957828,-0.21591684193617056
49,100013.638756903,182.26885736957828,-0.21569272995704725
50,99969.8942311343,182.26885736957828,-0.21749067797096103
51,99989.94380544496,182.26885736957828,-0.21499588933810618
52,99993.58918259235,182.26885736957828,-0.21111926895936023
53,99975.3622968554,182.26885736957828,-0.21203620200792223
54,99964.42616541321,182.26885736957828,-0.20903700975644995
55,99958.95809969213,182.26885736957828,-0.20621228259799018
56,100009.99337975562,182.26885736957828,-0.20373412115472753
57,99884.2278681706,182.26885736957828,-0.21146206930427622
58,99900.63206533386,182.26885736957828,-0.20644501031836174
59,99920.68163964452,182.26885736957828,-0.20566247782056532
60,99929.795082513,182.26885736957828,-0.20500470613728675
61,100081.07823412975,182.26885736957828,-0.19926657114582458
62,100139.40426848801,182.26885736957828,-0.20659597393366158
63,100124.82275989844,182.26885736957828,-0.2096723468869149
64,100035.51101978734,182.26885736957828,-0.21215602753158885
65,100055.560594098,182.26885736957828,-0.20935247038839822
66,100175.86196798708,0.0,-0.21480546715044924
67,100097.56273943755,172.0052574999778,-0.21595715025449047
68,100083.80231883755,172.0052574999778,-0.21190466991986254
69,100070.04189823754,172.0052574999778,-0.21199470422558175
