step,type,price,shares
1,buy,26.932030549612783,186.42803877703207
20,sell,26.88344442391081,186.42803877703207
21,buy,27.1680571422708,184.54397531772986
34,sell,30.253016257012813,184.54397531772986
35,buy,30.560583963123975,165.3781876468703
38,sell,28.627479828890763,165.3781876468703
39,buy,29.00632359540926,173.94194832295184
47,sell,27.277770281463944,173.94194832295184
48,buy,27.591299345409883,182.26885736957828
67,sell,29.02453381762902,182.26885736957828
68,buy,29.330548884052753,172.0052574999778
75,sell,27.900449196508685,172.0052574999778
76,buy,28.207566221621605,178.05587185798203
95,sell,27.6196205267084,178.05587185798203
96,buy,27.886347027923364,179.91221687848176
107,sell,25.632329159465414,179.91221687848176
108,buy,25.9110565411704,192.57062813007568
127,sell,25.014872674358525,192.57062813007568
128,buy,25.257029325876555,197.1929175904302
