step,portfolio_value,position_size,reward
0,99944.3907148086,61.774153694094394,-0.22328264242342277
1,99966.01166860154,61.774153694094394,-0.21904653136051247
2,99961.06973630602,61.774153694094394,-0.21995005567329243
3,99995.6632623747,61.774153694094394,-0.2177750376583387
4,100014.81325001987,61.774153694094394,-0.21481579588713456
5,100131.56640050172,61.774153694094394,-0.20782161008599537
6,99927.09395177427,61.774153694094394,-0.22193448983307343
7,99799.83919516443,61.774153694094394,-0.22475242326946376
8,99866.55528115404,61.774153694094394,-0.21933026678091694
9,99739.91826608115,61.774153694094394,-0.22735084979086959
10,99794.27952133196,61.774153694094394,-0.22030191809103766
11,99863.46657346934,61.774153694094394,-0.21961559370701544
12,99996.89874544859,61.774153694094394,-0.21716413092092068
13,99993.19229622695,61.774153694094394,-0.22433879138048515
14,100095.73739135914,61.774153694094394,-0.21706812474397952
15,100338.50981537692,61.774153694094394,-0.21139456662550624
16,100305.15177238212,61.774153694094394,-0.22715855939608304
17,100361.36625224374,61.774153694094394,-0.22313181403702878
18,100267.46953862872,61.774153694094394,-0.228734268128361
19,100239.9346094133,0.0,-0.2363843459568311
20,100150.37960181369,58.39446266422773,-0.2305876229039748
21,100116.51081346844,58.39446266422773,-0.22792826849165598
22,100154.46721420018,58.39446266422773,-0.22533791582837084
23,100159.13877121333,58.39446266422773,-0.22663486695070967
24,100273.00797340857,58.39446266422773,-0.22224431765238725
25,100331.40243607279,58.39446266422773,-0.2252291075053491
26,100282.93503206149,58.39446266422773,-0.22855789847418004
27,100261.32908087573,58.39446266422773,-0.22326771141788038
28,100273.00797340857,58.39446266422773,-0.21961049538333727
29,100258.99330236916,58.39446266422773,-0.2204001712305212
30,100177.82499926588,58.39446266422773,-0.2203199449810954
31,100422.497797829,58.39446266422773,-0.20876288052444372
32,100405.8553759697,58.39446266422773,-0.22400066327860035
33,100454.61475229432,58.39446266422773,-0.22035740064609638
34,100461.62208781403,58.39446266422773,-0.22189487788008458
35,100389.21295411038,58.39446266422773,-0.22438141454748567
36,100505.4179348122,58.39446266422773,-0.211838404652455
37,100426.58541021548,58.39446266422773,-0.2205316393431758
38,100521.18443973154,58.39446266422773,-0.2144338198842801
39,100506.65076076979,0.0,-0.22770470319630315
40,100451.69757112676,55.04197741553658,-0.2214096008960158
41,100133.85377977494,0.0,-0.24043721064853127
42,100183.91448719546,58.59207359846398,-0.2267465972211277
43,100204.42171295492,58.59207359846398,-0.22707760666545904
44,100190.94553602728,58.59207359846398,-0.22840274889338755
45,100270.04483538521,58.59207359846398,-0.22362355083909802
46,100263.59970728938,58.59207359846398,-0.2271308174836835
47,100188.60185308334,58.59207359846398,-0.22961926873567387
48,100188.60185308334,58.59207359846398,-0.22727678302254414
