step,type,price,shares
1,buy,180.1711615344033,27.90334282046989
4,sell,164.199251509033,27.90334282046989
5,buy,166.29102529178388,30.130001748250066
8,sell,155.7031000725029,30.130001748250066
9,buy,157.02526017375044,31.740023264369157
28,sell,160.46358678475323,31.740023264369157
29,buy,162.1830196105157,30.744631281416453
48,sell,164.07045434435875,30.744631281416453
49,buy,165.7845816308607,30.132426158989603
68,sell,174.17533754718008,30.132426158989603
69,buy,176.07068579831537,28.454469607032983
70,sell,161.26346111522594,28.454469607032983
71,buy,162.60565062884118,30.635645983954184
90,sell,156.8158867096734,30.635645983954184
91,buy,158.46364208079538,31.397705252366467
