step,portfolio_value,position_size,reward
0,100037.73602769927,63.492063492063494,-0.20266383175765726
1,100069.48205944529,63.492063492063494,-0.20254649420998802
2,100049.79951976276,63.492063492063494,-0.2034179674370333
3,100055.51380547704,63.492063492063494,-0.20266782635773786
4,100083.45031341354,63.492063492063494,-0.20112114039807746
5,100052.33920230244,63.492063492063494,-0.20319250519214
6,100134.87888484212,63.492063492063494,-0.19848048213639566
7,100071.38682135005,63.492063492063494,-0.2031466255929475
8,100103.13285309609,63.492063492063494,-0.2009385997955113
9,100158.37094833418,63.492063492063494,-0.19989489852359776
10,100178.68840865165,63.492063492063494,-0.20105763289603967
11,100187.57729754053,63.492063492063494,-0.20065580286218018
12,100440.91063087387,63.492063492063494,-0.19076941031702982
13,100479.4889937847,0.0,-0.21704309386134923
14,100342.280473156,57.65405611302772,-0.2177560109150251
15,100335.36198642245,57.65405611302772,-0.2145086025530208
16,100383.21485299626,57.65405611302772,-0.21249485044294286
17,100335.93852698358,57.65405611302772,-0.21626279683993951
18,100355.540906062,57.65405611302772,-0.21377723118838785
19,100378.02598794608,57.65405611302772,-0.21360526901443408
20,100378.02598794608,57.65405611302772,-0.21441642427054453
21,100377.44944738495,57.65405611302772,-0.21418773115162165
22,100367.64825784574,57.65405611302772,-0.21457809333223563
23,100387.25063692417,57.65405611302772,-0.21333807405432914
24,100403.97031319694,57.65405611302772,-0.21339683608507656
25,100396.47528590226,57.65405611302772,-0.2143178212980264
26,100440.29236854815,57.65405611302772,-0.21203905710577867
27,100373.99020401818,57.65405611302772,-0.2158522351295642
28,100357.2705277454,57.65405611302772,-0.2141128713788762
29,100378.60252850721,57.65405611302772,-0.21274595250491557
30,100335.36198642245,57.65405611302772,-0.21504758285255607
31,100335.93852698358,57.65405611302772,-0.21381421956662874
32,100338.82122978923,57.65405611302772,-0.2137322937396293
33,100351.46066903038,0.0,-0.21364341586549873
34,100462.80974921129,58.54811007528027,-0.19909500558919982
35,100475.69033342785,58.54811007528027,-0.2033737525068686
36,100497.3531341557,58.54811007528027,-0.2029388403060336
37,100433.53569417364,58.54811007528027,-0.20597957934583072
38,100486.81447434214,58.54811007528027,-0.20181508905440512
39,100504.96438846548,58.54811007528027,-0.20352221128944079
40,100454.61301380074,58.54811007528027,-0.20619904041375184
41,100438.21954297966,58.54811007528027,-0.20562264012193077
42,100493.25476645042,58.54811007528027,-0.20289401338298743
43,100519.6014159843,58.54811007528027,-0.2043290267419693
44,100505.54986956624,58.54811007528027,-0.20592560469958496
45,100468.66456021881,58.54811007528027,-0.20695112738682864
46,100459.88234370752,58.54811007528027,-0.20622918155385814
47,100508.47727506999,58.54811007528027,-0.20367651123218217
48,100556.48672533174,58.54811007528027,-0.20282390269696945
49,100510.23371837226,58.54811007528027,-0.20659611685318327
50,100488.5709176444,58.54811007528027,-0.20632240516944614
51,100465.1516736143,58.54811007528027,-0.20602053227391484
52,100531.8965191001,58.54811007528027,-0.20266764890401756
53,100511.87810434692,0.0,-0.21679868954796883
54,100507.9189793828,56.18327451332975,-0.20731725495189351
55,100547.80910428725,56.18327451332975,-0.2002619231313627
56,100497.8059899704,56.18327451332975,-0.2040623872501995
57,100476.45634565533,56.18327451332975,-0.20369597016710364
58,100397.23792859154,56.18327451332975,-0.20509865521383186
59,100419.71123839686,56.18327451332975,-0.20222423139169396
60,100399.48525957207,56.18327451332975,-0.20394589574587385
61,100361.84246564814,56.18327451332975,-0.20419690313234473
62,100401.17075780747,56.18327451332975,-0.20148581619550857
63,100450.05020663407,56.18327451332975,-0.20070535202575873
64,100498.36782271553,56.18327451332975,-0.2010977370767917
65,100586.57556370145,56.18327451332975,-0.19989342560362958
66,100609.61070625193,56.18327451332975,-0.20346898934447122
67,100639.38784174398,56.18327451332975,-0.2031158234245761
68,100611.29620448733,56.18327451332975,-0.20514195662297152
69,100630.39851782186,56.18327451332975,-0.20325996442377667
70,100690.51462155112,56.18327451332975,-0.20098857474685508
71,100660.17565331391,56.18327451332975,-0.204760573783627
72,100563.54042115099,56.18327451332975,-0.20757267774229798
73,100543.69285317275,0.0,-0.21724857202932904
74,100408.86473353428,55.21345022140185,-0.2121631371165394
75,100384.01868093465,55.21345022140185,-0.2089551508185904
76,100475.12087379997,55.21345022140185,-0.20408697799420522
77,100338.7436517531,55.21345022140185,-0.21428706957649887
78,100316.10613716234,55.21345022140185,-0.2130165583007939
79,100347.57780378853,55.21345022140185,-0.21004677394409665
80,100277.45672200735,55.21345022140185,-0.21413639776381146
81,100225.33810530882,0.0,-0.22479080080593047
