step,type,price,shares
1,buy,79.16607452647325,63.492063492063494
14,sell,86.80100972070606,63.492063492063494
15,buy,87.49611088041185,57.65405611302772
34,sell,85.36190992328207,57.65405611302772
35,buy,86.24503846260521,58.54811007528027
54,sell,89.07262237532444,58.54811007528027
55,buy,90.16538534249432,56.18327451332975
74,sell,90.8221463667352,56.18327451332975
75,buy,91.48620028679963,55.21345022140185
82,sell,85.80895664514921,55.21345022140185
83,buy,86.56271873581196,58.12186157811925
102,sell,84.20409591006668,58.12186157811925
103,buy,85.32253881431674,59.004414522659104
