step,type,price,shares
1,buy,567.8766981110743,8.846895624325425
20,sell,548.2930987436638,8.846895624325425
21,buy,554.1439049747738,9.05035618894629
40,sell,610.5105569920709,9.05035618894629
41,buy,616.6955102490302,8.174051771307829
60,sell,607.3175559660936,8.174051771307829
61,buy,612.7442654165404,8.221252331078645
80,sell,587.5095031134645,8.221252331078645
81,buy,594.1944185099233,8.461421988362552
90,sell,548.3552884473662,8.461421988362552
91,buy,552.6473275072361,9.054717745058651
103,sell,498.4514408772046,9.054717745058651
104,buy,503.50379793088746,9.896234713373525
123,sell,525.7184920964515,9.896234713373525
124,buy,531.1475583341926,9.394068807893916
