step,type,price,shares
1,buy,176.84829753682052,28.36235747915367
16,sell,195.3404472484871,28.36235747915367
17,buy,197.52989750002936,25.594337955279748
20,sell,230.12544111303131,25.594337955279748
21,buy,232.3627884142409,21.912131684467806
23,sell,251.9112509534482,21.912131684467806
24,buy,254.53184802303068,20.117623589413988
27,sell,246.95941415470645,20.117623589413988
28,buy,249.67550837037214,20.46764098491034
35,sell,215.12247871474716,20.46764098491034
36,buy,216.8472423278829,23.357950545994836
43,sell,197.68859734398717,23.357950545994836
44,buy,199.88321683581182,25.25375269828668
54,sell,219.82026435284902,25.25375269828668
55,buy,221.92902286980427,22.828474096850762
60,sell,204.86563862960477,22.828474096850762
61,buy,206.88515535934692,24.435749670888143
74,sell,225.9747357531269,24.435749670888143
75,buy,228.07347210238734,22.23025736698031
78,sell,253.27107929645555,22.23025736698031
79,buy,255.80837474424837,19.97268426512857
90,sell,237.5973727470339,19.97268426512857
91,sell,216.60919575637757,21.192033892498685
92,buy,218.81484280306435,23.116553073206045
100,sell,259.4060338117014,23.116553073206045
101,buy,261.47139092358753,19.507928861909523
107,sell,241.55656405824504,19.507928861909523
108,buy,244.10024757768207,20.843992475794114
109,sell,287.26764653643374,20.843992475794114
110,buy,290.20151879145084,17.69821954066116
111,sell,319.11933710098003,17.69821954066116
112,buy,322.06326624183674,15.97592734438689
129,sell,367.3657207910796,15.97592734438689
130,buy,370.5394807729498,13.986033345960276
133,sell,422.78155729626457,13.986033345960276
134,buy,427.8173666716707,12.25123018775435
137,sell,478.0759994464427,12.25123018775435
138,sell,437.6623767259463,10.908315119203197
139,buy,442.807152555717,11.837791841474777
