step,type,price,shares
1,buy,181.34036809821558,27.740790057700842
13,sell,194.76949420950106,27.740790057700842
14,buy,196.59570776228273,25.658890933568646
33,sell,188.03760104050158,25.658890933568646
34,buy,190.46644318644636,26.463398239182684
53,sell,192.46437478586546,26.463398239182684
54,buy,194.05280240852187,25.933270396779562
60,sell,177.97849228337085,25.933270396779562
61,buy,179.60485856432942,27.91988398329889
72,sell,204.49822196060234,27.91988398329889
73,buy,206.46653119940507,24.446043506880653
86,sell,198.6321063572174,24.446043506880653
87,buy,200.47894464051555,25.1170146217678
106,sell,201.1272438586321,25.1170146217678
107,buy,202.96043447335427,24.805397470279797
115,sell,190.2291641920105,24.805397470279797
116,buy,192.11181522437178,26.12868141948312
128,sell,217.90096953737236,26.12868141948312
129,buy,219.7561381571043,23.006479319667445
131,sell,202.79442492229933,23.006479319667445
132,buy,205.20440008624425,24.53874447834183
146,sell,190.73466336680738,24.53874447834183
147,buy,192.2069609682377,26.06381690457216
