step,type,price,shares
1,buy,17.636729071700433,284.73804100227795
20,sell,17.958899555457446,284.73804100227795
21,buy,18.16567303277382,276.9415231810513
40,sell,18.333862372145827,276.9415231810513
41,buy,18.528434304686318,271.64457669830506
60,sell,19.819030456709893,271.64457669830506
61,buy,20.010668500215562,252.319352024068
80,sell,21.436566612909072,252.319352024068
81,buy,21.67679359012262,233.72303823383766
100,sell,21.796832315888658,233.72303823383766
101,buy,21.9849596891307,230.2536395338001
120,sell,22.6477479894416,230.2536395338001
121,buy,22.89755171716246,221.4880813870588
140,sell,22.580539854109823,221.4880813870588
141,buy,22.784995912926433,222.59222394254678
