step,type,price,shares
1,buy,38.333972800526354,130.99292638197537
20,sell,38.4503628226781,130.99292638197537
21,buy,38.688699294997136,129.6140709787345
40,sell,38.244886126351425,129.6140709787345
41,buy,38.63693515498916,129.90344021061694
60,sell,39.74374347575292,129.90344021061694
61,buy,40.19302452395481,125.29593658821926
67,sell,37.617151615113094,125.29593658821926
68,buy,38.0216199583112,131.92114928402046
87,sell,39.23347464182663,131.92114928402046
88,buy,39.59872961532491,126.7938408131434
107,sell,42.40531157933432,126.7938408131434
108,buy,42.85522108027681,117.59817624191652
127,sell,42.742958952339336,117.59817624191652
128,buy,43.175210485432416,116.64646281989855
132,sell,40.53102717682668,116.64646281989855
133,buy,41.009536564950174,122.5566022800526
152,sell,41.00522943109753,122.5566022800526
153,buy,41.390005463050045,121.30019410771511
172,sell,39.30339973676969,121.30019410771511
173,buy,39.73228338473817,126.06767033070409
