step,type,price,shares
1,buy,265.44600953532597,18.956627236882014
20,sell,265.9820674731862,18.956627236882014
21,buy,268.83341261941183,18.690450567885076
40,sell,286.17369698851974,18.690450567885076
41,buy,289.3853638234377,17.421601755615303
45,sell,267.83699192880374,17.421601755615303
46,buy,270.4735543530521,18.568626423764574
65,sell,282.05651225111893,18.568626423764574
66,buy,284.605301937269,17.68125920118009
85,sell,305.5690633439682,17.68125920118009
86,buy,308.2881653839368,16.35042987824341
105,sell,313.33593430664644,16.35042987824341
106,buy,316.7549959937473,15.973803367417883
