step,type,price,shares
1,buy,59.083982099786965,85.01955449753443
4,sell,52.34599426530306,85.01955449753443
5,buy,52.80149842855136,94.5799109709173
24,sell,57.906380943361576,94.5799109709173
25,buy,58.38689090614462,85.91330097670159
28,sell,53.34217652699501,85.91330097670159
29,buy,53.95620404933451,92.62598137866655
32,sell,51.036286797863134,92.62598137866655
33,buy,51.5647948337693,96.71066311154352
52,sell,57.15535639177224,96.71066311154352
53,buy,57.62134663176894,86.83548049780575
57,sell,63.63962221873088,86.83548049780575
58,buy,64.31624559734328,78.29964128948156
71,sell,71.77852514817074,78.29964128948156
72,buy,72.36317180437307,69.95432036147692
91,sell,73.31208169083824,69.95432036147692
92,buy,74.04856380013051,68.47641294086114
100,sell,68.41680784094959,68.47641294086114
101,buy,68.96449016551881,73.07223046758614
