#{"t_start": 1741909845.5149643, "env_id": "None"}
r,l,t
-301.81456,868,1.909913
-204.790499,701,2.471895
-258.775718,754,3.090156
-299.715724,878,3.808925
-98.550923,424,4.233567
-83.276791,378,4.544142
-335.572077,950,5.325211
-323.721729,887,21.913338
-275.823868,744,37.141564
-85.27836,366,44.633219
-97.845959,408,52.970113
-74.799659,317,60.373688
-93.833866,424,69.468812
-240.315258,757,87.414777
-81.731627,379,95.302841
-229.781894,766,112.867045
-139.880999,550,123.313614
-250.502992,698,136.072502
-266.830444,762,152.551406
-209.249606,638,164.688827
-339.198225,888,183.296536
-279.843769,883,200.764812
-159.704238,630,214.415347
-201.218639,712,228.533736
-123.983122,512,237.730191
-290.038423,855,254.387498
-311.675924,902,272.395571
-221.647033,682,287.147753
-81.359546,349,298.138164
-84.438404,391,310.392534
-58.925913,261,318.474305
-62.470106,287,332.551529
-211.083644,686,352.279073
-230.821789,744,374.245399
-158.806584,593,391.325869
-140.454988,518,406.177004
-150.721436,609,423.869237
-150.200059,603,441.733345
-232.670062,768,463.645144
-202.095976,709,483.008847
-59.307642,283,490.817418
-323.347379,909,516.120815
-69.354392,332,525.311926
-108.010502,436,537.638674
-221.582083,732,558.261858
-117.0357,509,572.593709
-178.546828,706,592.413085
-58.766783,278,600.214494
-199.427845,585,621.566705
-269.156469,925,647.390227
-298.183112,950,674.185796
-129.788284,572,690.323603
-317.298341,915,716.050962
-96.798121,402,727.325517
-169.981932,660,745.942812
-70.985441,311,754.721527
-129.928421,577,771.057505
-123.035885,513,785.298235
-169.890186,711,805.28524
-199.290423,730,825.81555
-92.339368,408,837.20036
-171.384714,713,857.325457
-86.38483,384,868.087227
-79.418432,385,878.77973
-135.361024,612,896.094988
-51.550462,232,905.432603
-283.72733,934,931.761391
-228.582934,826,955.044473
-238.242715,819,978.176476
-145.455821,550,993.584329
-283.827845,917,1019.548557
-163.260613,592,1036.249531
-127.607594,503,1050.455347
-160.395581,725,1070.839293
-309.162509,971,1097.926263
-318.450739,865,1125.077489
-108.713511,433,1138.629783
-162.240042,709,1160.965392
-72.430516,326,1171.017218
-220.584988,830,1195.227145
-115.893341,518,1208.211706
-164.967197,713,1225.573824
-280.116265,800,1245.452447
-248.212277,874,1266.97266
-208.996075,677,1283.777177
-98.99721,463,1295.221762
-170.610565,779,1314.552827
-140.295163,600,1329.376657
-235.82693,817,1349.623105
-94.339227,439,1358.74942
-79.254435,369,1366.949499
-104.265932,482,1376.07995
-231.11568,868,1392.802243
-147.579592,668,1405.313359
-226.538482,923,1423.934139
-2.301044,10,1428.73068
-104.055305,485,1441.338893
-96.016035,437,1452.491779
-237.194163,854,1466.801933
-65.607676,307,1471.928537
-87.73929,420,1480.11855
-232.083788,711,1493.281916
-77.044626,361,1502.17058
-191.828672,766,1520.917815
-59.023988,276,1526.578015
-54.582465,252,1532.941716
-122.230605,574,1547.107471
-68.407923,317,1554.921597
-112.872485,534,1568.140815
-109.614434,520,1580.876171
-236.364063,729,1596.227831
-263.079614,917,1619.065581
-295.399907,961,1639.21436
-86.692051,415,1649.964252
-36.164035,164,1658.996488
-57.487651,258,1665.968424
-260.765251,922,1686.959175
-262.607211,913,1704.293912
-157.110638,644,1717.091911
-102.570673,456,1726.927363
-168.900861,697,1740.660569
-105.286994,485,1748.561537
-96.973652,430,1755.151399
-84.957271,398,1761.329978
-123.714032,498,1769.41284
-111.533643,498,1778.234959
-171.433804,788,1792.847642
-218.270835,883,1813.074043
-115.461855,541,1823.688112
-120.038967,549,1833.964267
-108.003178,504,1844.143835
-121.997602,536,1859.705534
-239.693852,882,1882.419454
-123.570748,570,1895.403395
-137.067769,635,1907.252357
-191.804157,728,1925.419597
-238.007583,788,1945.238878
-115.251754,523,1955.307645
-140.459265,550,1966.372077
-182.188546,697,1980.330909
-156.525971,727,1998.778391
-120.324433,529,2015.82924
-219.142899,882,2042.52949
-78.799315,315,2052.707999
-220.773518,967,2082.776663
-164.992631,740,2106.081405
-108.700386,467,2123.869249
-131.255659,572,2141.245719
-176.093304,814,2168.756505
-225.585874,980,2200.398969
-181.916364,711,2223.442608
-156.592708,690,2245.450898
-55.117793,269,2254.256701
-87.841377,413,2267.391276
-102.346183,484,2282.852871
-207.141561,788,2305.486809
-259.728902,760,2328.84258
-84.755662,389,2341.087874
-94.058489,427,2354.404108
-142.551941,661,2375.245715
-200.541173,931,2403.808961
-110.717866,494,2419.362357
-100.025651,439,2433.38696
-39.112662,178,2446.263428
-267.893996,912,2475.651045
-240.369506,913,2505.099797
-200.830124,742,2528.881448
-183.377923,860,2556.269454
-176.872624,730,2579.697853
-84.801963,374,2590.684812
-74.211265,348,2601.635988
-131.067312,553,2619.268907
-81.251206,385,2631.622951
-101.318976,447,2645.91017
-162.004852,715,2666.720058
-63.312378,297,2676.199911
-148.164309,661,2697.230231
-177.014533,711,2717.883313
-209.604863,848,2742.537761
-69.634534,322,2752.848192
-40.343014,182,2765.855896
-109.726921,513,2782.214001
-93.934839,406,2795.207023
-230.23723,907,2824.156808
-170.337606,764,2846.875641
-171.000452,711,2869.615281
-136.501645,625,2889.635812
-162.750922,732,2912.151111
-148.645062,691,2934.025003
-118.410853,534,2951.115536
-55.934995,262,2959.490184
-78.818184,356,2970.848489
-99.237682,441,2984.913046
-64.166821,299,2994.493943
-150.033246,676,3016.060893
-187.89887,876,3044.007146
-161.977106,712,3066.911811
-110.522131,495,3086.566992
-157.760436,704,3109.173967
-78.743694,363,3120.839489
-135.43784,631,3141.036546
-59.424732,279,3150.051652
-153.575849,712,3173.016038
-111.383807,482,3188.383187
-236.399212,930,3216.856023
-72.38713,333,3227.474953
-145.287821,699,3249.706581
-229.382558,979,3281.070283
-266.31699,849,3308.115087
-153.88873,714,3329.927957
-117.333385,530,3346.804041
-57.188568,260,3354.996537
-83.611412,408,3368.045605
-185.5089,868,3395.53319
-57.236176,259,3407.236327
-141.526566,604,3426.139922
-94.105068,417,3439.536938
-112.128086,542,3456.807168
-259.220866,940,3487.029694
-128.364614,609,3506.564973
-134.165799,616,3526.305066
-60.456094,284,3535.35604
-65.154074,300,3545.020071
-136.427638,620,3564.807756
-85.282331,409,3577.869902
-74.121614,347,3588.857934
-195.865147,824,3615.221111
-179.033536,816,3641.339946
-116.800691,560,3659.222519
-182.931803,799,3684.794201
-145.179271,642,3704.577521
-63.749985,297,3713.786449
-83.668389,374,3731.867702
-186.665398,872,3759.528492
-201.346043,943,3789.186522
-164.223158,755,3812.203108
-112.174935,511,3828.423617
-152.092282,670,3849.995874
-173.403874,754,3873.251833
-66.3646,307,3883.026915
-130.575624,574,3901.473278
-164.643554,697,3923.802681
-161.889248,697,3946.098149
-72.213544,326,3956.483934
-127.949105,573,3974.766066
-93.98875,433,3987.547861
-262.124763,954,4017.038213
-155.359505,715,4039.793871
-45.253103,219,4053.747285
-80.942939,372,4065.84324
-133.109783,629,4085.981108
-142.455244,661,4105.935692
-75.105578,362,4117.629565
-205.501036,864,4143.699117
-94.639965,392,4152.748765
-165.627977,722,4165.303928
-54.855613,257,4169.854722
-208.996445,981,4186.295581
-90.616773,431,4193.329394
-68.296198,296,4198.495712
-135.746609,610,4208.553799
-194.016797,911,4223.851028
-140.901337,644,4235.19238
-168.024193,661,4246.484397
-180.818025,855,4260.787329
-76.459018,352,4268.814309
-122.825226,564,4278.534433
-123.382057,570,4287.999379
-144.653593,680,4299.433721
-189.708987,852,4313.481107
-125.249925,552,4323.151721
-129.625373,594,4333.047166
-175.644421,804,4346.712425
-84.065537,400,4353.665078
-126.69289,567,4363.460581
-228.547676,982,4380.494561
-156.133961,689,4391.849602
-115.260856,542,4401.007388
-81.655813,361,4406.573802
-147.959223,653,4417.709734
-111.637731,530,4427.066737
-65.116157,291,4431.905729
-83.215217,369,4441.370038
-189.090197,896,4457.153257
-98.50658,455,4464.923295
-70.184854,334,4470.745414
-159.667037,639,4482.159688
-164.808926,742,4495.217413
-144.252885,665,4507.225369
-167.608267,779,4521.211753
-199.396117,957,4537.60934
-160.448635,732,4550.410328
-74.753066,357,4556.523727
-203.498296,908,4572.286366
-121.738215,558,4581.971647
-90.533849,393,4588.635663
-59.929632,269,4593.435123
-114.591266,476,4601.701207
-152.541582,733,4614.587118
-21.82094,107,4619.448862
-187.062365,873,4634.714357
-113.87736,547,4644.50689
-172.409938,802,4658.384146
-94.405857,452,4666.198423
-207.581961,931,4682.283689
-174.715192,727,4694.824642
-113.479985,515,4703.82038
-109.261298,507,4712.344147
-94.599937,439,4720.131527
-84.352815,373,4726.052412
-119.126585,529,4734.537341
-97.719614,466,4742.349528
-85.991152,421,4749.660533
-174.435699,820,4763.303542
-112.128556,496,4770.957363
-152.245848,717,4782.699717
-84.13425,385,4791.593779
-99.588882,449,4799.759974
